Title,Price,Category,Condition,Material,Description,URL
Featured,11500,Chair,Used,,"office furniture/Revolving chair/ office chair /high back/ mesh chair Gulberg, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/office-furniturerevolving-chair-office-chair-high-back-mesh-chair-iid-1109078299
Featured,29999,Bed,Used,,"double bed, king size bed, side tables, home furniture, room furnitur Model Town, Lahore•4 days ago Call Chat",https://www.olx.com.pk/item/double-bed-king-size-bed-side-tables-home-furniture-room-furnitur-iid-1107014842
Featured,14000,Wardrobe,Used,,"3door wardrobe safe almari kids 2 dwardrobe baby 2door almari king Korang Road, Islamabad•2 weeks ago Call Chat",https://www.olx.com.pk/item/3door-wardrobe-safe-almari-kids-2-dwardrobe-baby-2door-almari-king-iid-1109222482
Featured,2000,Sofa,Used,,"Sofa poshish // Furniture polish // sofa repair// wall poshish GT Road, Lahore•2 days ago Call Chat",https://www.olx.com.pk/item/sofa-poshish-furniture-polish-sofa-repair-wall-poshish-iid-1103080751
Featured,29999,Bed,Used,,"bed /double bed/king size bed set/bedroom furniture/bridal set/woo Mansoorah, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/bed-double-bedking-size-bed-setbedroom-furniturebridal-setwoo-iid-1108130881
Featured,5999,Table,Used,,"cubical work station call centre table meeting table executive table Faisal Town, Lahore•4 weeks ago Call Chat",https://www.olx.com.pk/item/cubical-work-station-call-centre-table-meeting-table-executive-table-iid-1108128691
Featured,20000,Sofa,Used,,"sofa poshish\furniture poshish with material\sofa polish\manufacturing DHA Defence, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/sofa-poshishfurniture-poshish-with-materialsofa-polishmanufacturing-iid-1109235613
Featured,400000,Furniture,Used,Wood,"Fiber doors |Wood doors| PVc Doors|China Doors|Furniture| Water proof Faisalabad Square, Faisalabad•2 weeks ago Call Chat",https://www.olx.com.pk/item/fiber-doors-wood-doors-pvc-doorschina-doorsfurniture-water-proof-iid-1095447077
Delivery,799000,Furniture,Used,,Rs 950 16% Hopes Rechargeable Emergency LED Torch Light H-359 Best Torch Light,https://www.olx.com.pk/item/hopes-rechargeable-emergency-led-torch-light-h-359-best-torch-light-iid-ev492061-1
Delivery,1460,Furniture,Used,,"Rs 1,700 14% 5Pcs 50 Watt LED Flood Light Water Proof Outdoor LED Spotlight AC 220V (White)",https://www.olx.com.pk/item/5pcs-50-watt-led-flood-light-water-proof-outdoor-led-spotlight-ac-220v-white-iid-ev492056-1
Delivery,1399,Furniture,Used,,"Rs 1,780 21% Torch Light BX-P12 COB Side Light Warning Work Light Strong Light Outdoor Search light Type-C charging with Pen Clip Flash Light",https://www.olx.com.pk/item/torch-light-bx-p12-cob-side-light-warning-work-light-strong-light-outdoor-search-light-type-c-charging-with-pen-clip-flash-light-iid-ev492044-1
Delivery,2600,Furniture,Used,Wood,"Rs 3,500 26% Brass Work Wooden Gavel – Premium Handmade Judge Hammer",https://www.olx.com.pk/item/brass-work-wooden-gavel-premium-handmade-judge-hammer-iid-ev492028-1
Delivery,3500,Furniture,Used,Wood,"Rs 4,500 22% Brass Grip Wooden Gavel Set – For Lawyers, Judges & Gifts",https://www.olx.com.pk/item/brass-grip-wooden-gavel-set-for-lawyers-judges-gifts-iid-ev492026-1
Delivery,499000,Furniture,Used,,"Rs 750 33% Torch Light Rechargeable LED Torch Long Range high Power Light Torch (Multi Color, Pack of 1, Rechargeable)",https://www.olx.com.pk/item/torch-light-rechargeable-led-torch-long-range-high-power-light-torch-multi-color-pack-of-1-rechargeable-iid-ev492019-1
Delivery,2440,Furniture,Used,,"Rs 3,350 27% Rechargeable Solar Powered LED Emergency Light Waterproof ABS Outdoor Work Camping Fishing USB Solar Split Lighting",https://www.olx.com.pk/item/rechargeable-solar-powered-led-emergency-light-waterproof-abs-outdoor-work-camping-fishing-usb-solar-split-lighting-iid-ev492017-1
Delivery,2440,Furniture,Used,,"Rs 3,350 27% Movable Rechargeable Solar Powered LED Emergency Light Waterproof ABS Outdoor Work Camping Fishing USB Solar Split Lighting",https://www.olx.com.pk/item/movable-rechargeable-solar-powered-led-emergency-light-waterproof-abs-outdoor-work-camping-fishing-usb-solar-split-lighting-iid-ev492016-1
Delivery,4100,Furniture,Used,Wood,"Rs 5,000 18% Brass Work Wooden Gavel with Brass Scale – For Lawyers & Office Decor",https://www.olx.com.pk/item/brass-work-wooden-gavel-with-brass-scale-for-lawyers-office-decor-iid-ev492014-1
Featured,3499,Table,Good,,"Study Table ,Computer Table Laptop Table Office Table Working Table DHA Phase 4, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/study-table-computer-table-laptop-table-office-table-working-table-iid-1082349418
Featured,10500,Sofa,Used,Rattan,"rattan swing/jhula/restaurant furniture/rattan sofa,dining table/chai Saddar, Rawalpindi•6 days ago Call Chat",https://www.olx.com.pk/item/rattan-swingjhularestaurant-furniturerattan-sofadining-tablechai-iid-1105544545
Featured,190000,Furniture,Used,Wood,"Window blinds curtains rollers vertical wooden blinds Grand interiors University Road, Karachi•2 weeks ago Call Chat",https://www.olx.com.pk/item/window-blinds-curtains-rollers-vertical-wooden-blinds-grand-interiors-iid-1088628369
Featured,2000,Bed,New,,"Double bed side table dressing | Wardrobe | Unique Brand new Furniture DHA Defence, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/double-bed-side-table-dressing-wardrobe-unique-brand-new-furniture-iid-1109205293
Featured,50000,Table,Used,Metal,"6 seater dining table/UV top table/metal steel chair/luxury dining set Cantt, Lahore•3 weeks ago Call Chat",https://www.olx.com.pk/item/6-seater-dining-tableuv-top-tablemetal-steel-chairluxury-dining-set-iid-1109029831
Featured,55000,Bed,Used,Wood,"Bunk bed | Kid wooden bunker bed | Baby bed | Double bed | Triple bed Chaklala Scheme 3, Rawalpindi•6 days ago Call Chat",https://www.olx.com.pk/item/bunk-bed-kid-wooden-bunker-bed-baby-bed-double-bed-triple-bed-iid-1109412736
Featured,60000,Bed,Used,,"Bed set/ furniture / furniture on discount DHA Defence, Lahore•14 hours ago Chat",https://www.olx.com.pk/item/bed-set-furniture-furniture-on-discount-iid-1109527815
Featured,29999,Bed,Used,,"Beds | Poshis Beds | King Size Beds | Queen Size Beds | Custimize Bed Bahria Town Main Boulevard, Lahore•3 days ago Call Chat",https://www.olx.com.pk/item/beds-poshis-beds-king-size-beds-queen-size-beds-custimize-bed-iid-1109512624
Featured,59999,Bed,Used,,"Home Furniture For Sale | King size | Double Bed | chairs DHA Phase 6, Lahore•1 week ago Call Chat",https://www.olx.com.pk/item/home-furniture-for-sale-king-size-double-bed-chairs-iid-1109296347
Delivery,5200,Table,Used,Wood,"Rs 6,000 13% Brass Grip Wooden Gavel & Brass Scale Set – For Lawyers & Office Table",https://www.olx.com.pk/item/brass-grip-wooden-gavel-brass-scale-set-for-lawyers-office-table-iid-ev492012-1
Delivery,699000,Furniture,Used,,Rs 900 22% LED Rechargeable Emergency Light High Power Flashlight,https://www.olx.com.pk/item/led-rechargeable-emergency-light-high-power-flashlight-iid-ev492005-1
Delivery,499000,Furniture,Good,,"Rs 3,500 86% GMSA Rose Touch Multi-Surface Cleaning Wipes - Best for Car, Bike, Bicycle, & Furniture",https://www.olx.com.pk/item/gmsa-rose-touch-multi-surface-cleaning-wipes-best-for-car-bike-bicycle-furniture-iid-ev491796-1
Delivery,1299,Bed,Good,,"Rs 1,399 7% Anti Bedsore Air Cushion say good bye to back pain",https://www.olx.com.pk/item/anti-bedsore-air-cushion-say-good-bye-to-back-pain-iid-ev491759-1
Delivery,300000,Furniture,Used,,Silicon Pot Gloves* Heat-Resistant Cooking Companion,https://www.olx.com.pk/item/silicon-pot-gloves-heat-resistant-cooking-companion-iid-ev491686-1
Delivery,499000,Furniture,Used,,"Rs 800 38% Car Roof Projector, Starry Sky Ceiling Lights For Car, Roof Atmosphere USB interface car roof LED light",https://www.olx.com.pk/item/car-roof-projector-starry-sky-ceiling-lights-for-car-roof-atmosphere-usb-interface-car-roof-led-light-iid-ev491682-1
Delivery,599000,Furniture,Used,,"Rs 1,000 40% Headlamp, 3 Speed Adjustment 1500mAh Battery Rechargeable LED Headlamp for Fishing or Camping",https://www.olx.com.pk/item/headlamp-3-speed-adjustment-1500mah-battery-rechargeable-led-headlamp-for-fishing-or-camping-iid-ev491619-1
Delivery,699000,Furniture,Used,,Rs 900 22% Solar Rechargeable LED Torch-2 Way Charging Solar & Micro USB Mobile Charger,https://www.olx.com.pk/item/solar-rechargeable-led-torch-2-way-charging-solar-micro-usb-mobile-charger-iid-ev491576-1
Delivery,249000,Furniture,Good,Glass,"Rs 399 38% Premium Window Squeegee Cleaner – Handheld Glass Wiper with Streak-Free Rubber Blade for Windows, Showers & Mirrors",https://www.olx.com.pk/item/premium-window-squeegee-cleaner-handheld-glass-wiper-with-streak-free-rubber-blade-for-windows-showers-mirrors-iid-ev491573-1
Featured,30000,Furniture,Used,,"black and white color Landhi 2, Karachi•2 days ago Call Chat",https://www.olx.com.pk/item/black-and-white-color-iid-1108776958
Featured,3399,Table,Used,,"Computer Table/Laptop Table/Study Table/Workstation Wapda Town, Lahore•2 days ago Call Chat",https://www.olx.com.pk/item/computer-tablelaptop-tablestudy-tableworkstation-iid-1096826872
Featured,7300,Table,Used,,"Bar stool adjustable hight-Cafe chairs-Dining chair-Bar chairs-Stool Main Boulevard DHA Defence, Lahore•4 weeks ago Call Chat",https://www.olx.com.pk/item/bar-stool-adjustable-hight-cafe-chairs-dining-chair-bar-chairs-stool-iid-1108596885
Featured,18000,Bed,Used,Wood,"Double Bed/Wooden Double Bed/double bed solid/bed side tables Allama Iqbal Town - Huma Block, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/double-bedwooden-double-beddouble-bed-solidbed-side-tables-iid-1109178227
Featured,38500,Bed,Used,,"Branded Double Bed/Single Bed Side Table/Dressing/King size Bed Korang Road, Islamabad•3 weeks ago Call Chat",https://www.olx.com.pk/item/branded-double-bedsingle-bed-side-tabledressingking-size-bed-iid-1108899742
Featured,46000,Sofa,Used,,"Restaurant Furniture/Hotel | Cafe Furniture|sofa dining manufacturers Bahadurabad, Karachi•4 weeks ago Call Chat WhatsApp",https://www.olx.com.pk/item/restaurant-furniturehotel-cafe-furnituresofa-dining-manufacturers-iid-1103697017
Featured,21500,Bed,Used,,"Kids Car Bed| Princess Baby Bed| Single bed| kids Furniture | UV sheet Faisal Town, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/kids-car-bed-princess-baby-bed-single-bed-kids-furniture-uv-sheet-iid-1109154125
Featured,34000,Bed,Used,Wood,"Bunk bed | Kid wooden bunker bed | Baby bed | Double bed | kids bed G-13, Islamabad•4 days ago Call Chat",https://www.olx.com.pk/item/bunk-bed-kid-wooden-bunker-bed-baby-bed-double-bed-kids-bed-iid-1109481356
