Title,Price,Brand,Model,Condition,Type,Description,URL
Featured,1000,Dell,,Used,Laptop,"ASUS ZENBOOK 14 Ultra 5 125H DHA Phase 1, Lahore•1 day ago Call Chat",https://www.olx.com.pk/item/asus-zenbook-14-ultra-5-125h-iid-1109555042
Featured,1000,Dell,,Used,Laptop,"HP ProBook 450 G8 | 11th Gen Core i5 Bahadurabad, Karachi•10 hours ago Call Chat",https://www.olx.com.pk/item/hp-probook-450-g8-11th-gen-core-i5-iid-1109577825
Featured,45000,Dell,,Used,Laptop,"Dell M4800 i7 Workstation – Modified GPU – Plug-in Use Only Khayaban-e-Quaid, Lahore•4 days ago Call Chat",https://www.olx.com.pk/item/dell-m4800-i7-workstation-modified-gpu-plug-in-use-only-iid-1109477567
Featured,3000,Dell,,Used,Laptop,"i7| 32GB Ram | RTX 2080 | 144Hz| Gaming laptop | Backlit DHA Defence, Karachi•4 days ago Call Chat",https://www.olx.com.pk/item/i7-32gb-ram-rtx-2080-144hz-gaming-laptop-backlit-iid-1109223990
Delivery,1849,Dell,,Used,Laptop,"Rs 3,500 47% Royalx RS-35 Wireless Speaker – Powerful Bluetooth Speaker with Solar Charging, Deep Bass, Long Battery, Portable Outdoor Design",https://www.olx.com.pk/item/royalx-rs-35-wireless-speaker-powerful-bluetooth-speaker-with-solar-charging-deep-bass-long-battery-portable-outdoor-design-iid-ev471748-1
Delivery,1599,Dell,,Used,Laptop,"Rs 3,000 47% Royalx RS-25 Wireless Speaker – Powerful Bass, Portable Bluetooth Speaker with HD Sound & Long Battery Backup",https://www.olx.com.pk/item/royalx-rs-25-wireless-speaker-powerful-bass-portable-bluetooth-speaker-with-hd-sound-long-battery-backup-iid-ev471746-1
Delivery,1250,Dell,,Used,Laptop,"Rs 2,500 50% K8 Type-C Wireless Microphone – Collar Mic with Noise Cancellation, 20m Long Range, Perfect for Android Phones, Type-C Devices, Vlogging & Recording",https://www.olx.com.pk/item/k8-type-c-wireless-microphone-collar-mic-with-noise-cancellation-20m-long-range-perfect-for-android-phones-type-c-devices-vlogging-recording-iid-ev471734-1
Delivery,1600,Dell,,Used,Laptop,KTS-1185 MP3 Speaker –Wireless MP3 Speaker Portable Sound Box Bluetooth Music Speaker Rechargeable Outdoor Audio Speaker Multi-Mode MP3 Speaker USB/FM Bluetooth-LED Bluetooth Speaker,https://www.olx.com.pk/item/kts-1185-mp3-speaker-wireless-mp3-speaker-portable-sound-box-bluetooth-music-speaker-rechargeable-outdoor-audio-speaker-multi-mode-mp3-speaker-usb-fm-bluetooth-led-bluetooth-speaker-iid-ev475523-1
Delivery,17500,Dell,,Used,Laptop,"Rs 19,000 8% MAONO PM461S USB MICROPHONE BOOM ARM SET",https://www.olx.com.pk/item/maono-pm461s-usb-microphone-boom-arm-set-iid-ev480808-1
Delivery,10000,Dell,,Used,Laptop,"Rs 15,000 33% LED LCD PDP FULL MOTION TV WALL MOUNT BRACKET FOR 26”-55”",https://www.olx.com.pk/item/led-lcd-pdp-full-motion-tv-wall-mount-bracket-for-26-55-iid-ev481055-1
Delivery,7850,Dell,,Used,Laptop,"Rs 15,000 48% 117D 26""-50"" Articulating Universal LCD/LED TV Wall Mount",https://www.olx.com.pk/item/117d-26-50-articulating-universal-lcd-led-tv-wall-mount-iid-ev481054-1
Delivery,15500,Dell,,Used,Laptop,North Bayou NB-F80 Monitor Desk Mount Bracket for 17-30 inch Monitors,https://www.olx.com.pk/item/north-bayou-nb-f80-monitor-desk-mount-bracket-for-17-30-inch-monitors-iid-ev481080-1
Delivery,15700,Dell,,Used,Laptop,"Rs 25,000 37% KALOC KLC H4 Extended Arm Free Expansion LCD Monitor Wall Bracket Mount for 32-55 inch Tv mount Ready to Ship",https://www.olx.com.pk/item/kaloc-klc-h4-extended-arm-free-expansion-lcd-monitor-wall-bracket-mount-for-32-55-inch-tv-mount-ready-to-ship-iid-ev481075-1
