Title,Price,Category,Condition,Material,Description,URL
steel bed double king size 03244737250,32999.0,Bed,New,Iron,"Description میاں صدام فرنیچر فیکٹری
 ہمارے ہاں آئرن اور اسٹیل میں ہر قسم کے  ڈبل بیڈ، سنگل بیڈ، بنک بیڈ، سائیڈ ٹیبل، شوکیس، ڈریسنگ، صوفہ سیٹ، پوشیش صوفہ سیٹ، اور مکمل جہیز سیٹ ہول سیل ریٹ پر تیار کیے جاتے ہیں آور ہر طرح کا گھریلو فرنیچر تیار کیا جاتا ہے 
نہایت ہی مناسب قیمت میں رابطہ کر ے  (Chat with seller)  what s",https://www.olx.com.pk/item/steel-bed-double-king-size-03244737250-iid-1100637951
Imported cloth stand,3500.0,Furniture,New,,"Description •  3In1 System
•  Can Easily Manage Your Clothes On It With 40 To 45 Hangers Hanging Capacity, Garments Stand,Garments Rack
•   This Cloth Hanging And Boutique Display Stand Also Specially Design For Boutique Display Outlets And Garments Shops
•   It Has Single Pole Function Means Upper Hanging Option Straight Rode Hanging Option. It Will Help You To Organize Your Clothes And Other Accessories Like Bags, Belts , Towel, Jackets, Purse, Etc. 
•  5 Days Return Warranty 
• Delivery Available All Over In Pakistan",https://www.olx.com.pk/item/imported-cloth-stand-iid-1104222188
7 seater sofa,40000.0,Sofa,Used,,Description 7 seater light golden colour,https://www.olx.com.pk/item/7-seater-sofa-iid-1105365427
ratan sofa set,37000.0,Sofa,Used,,"Description ratan sofa set
indoor/out door furniture 
condition 9/10",https://www.olx.com.pk/item/ratan-sofa-set-iid-1105431832
Halogen Search Light 1000W,25000.0,Furniture,Used,,Description Halogen search light 1000w,https://www.olx.com.pk/item/halogen-search-light-1000w-iid-1105431860
swimming pools,5000.0,Furniture,Used,,"Description used once 
brand new condition 
comes with pump
no damage 
for kids",https://www.olx.com.pk/item/swimming-pools-iid-1105431875
Rattan garden outdoor Furniture set UPVC CHAIRS TABLE UMBRELLA,95000.0,Furniture,New,,"Description *** WELCOME TO ZAFAR OUTDOOR FURNITURE **
Our team is professional, the best designers & 100% quality work is delivered to clients on a reasonable rate. 
(DEAL IN ALL ITEMS IN ALL PAKISTAN DELEVERY AND CARGO AVAILABLE)
We deliver fast-track services with quality. Samples, and catalogs  selection. 
WhatsApp 
 (View phone number) 

Our services included

Rattan Furniture
Rattan sofa Set
Rattan chairs
Rattan dinning Table
Rattan folding chair
Park bench
Rattan Umbrellas
PVC Chair ,Tables
Heaven chair
Memory chair


Having highly professional workers to build design attractive comfortable and long lasting outdoor furniture ranges in best prices. 
We'll provide the important material one class Rattan ,waterproof Resistance . 

Our products:

FURNITURE

* SOFA SET 
* OUTDOOR CHAIRS
* DINNING TABLES 
* OUTDOOR BENCHES 
* HEAVEN CHAIRS  
* OUTDOOR SWINGS 
* OUTDOOR UMBRELLAS

DISCOUNT FOR BULK PURCHASING 

   FOR MORE INFORMATION PLEASE CONTACT US :
 0,3,2,1,4,1,7,5,6,9,6,
 WhatsApp  (View phone number)",https://www.olx.com.pk/item/rattan-garden-outdoor-furniture-set-upvc-chairs-table-umbrella-iid-1105431877
for sale,14000.0,Furniture,Used,,Description without crockery. . . . . .,https://www.olx.com.pk/item/for-sale-iid-1105431881
Paintings,3500.0,Furniture,New,,"Description Some words hold beauty beyond language. 

This matching Islamic wall art set was hand-painted with love, blending soft tones and unique patterns to create a sense of calm, balance, and serenity. 

Perfect for your home
Ideal as a spiritual gift
Hand-painted, framed & ready to hang
~ Munafsha",https://www.olx.com.pk/item/paintings-iid-1105431926
MARS Korean Blanket,8000.0,Furniture,New,,"Description Original Korean Blanket 
Best Essential product for cold winter 
Keeps you warm and cozy in winter",https://www.olx.com.pk/item/mars-korean-blanket-iid-1096627207
Sofa set 8 seater,45000.0,Sofa,Used,,Description Sofa set 8 seater is available for sale. good condition. not much used. serious buyers contact. price is negotiable. Please give reasonable price.,https://www.olx.com.pk/item/sofa-set-8-seater-iid-1102958395
Sofa Set/L Shape Sofa/6 Seater Sofa/Wooden Cornor Sofa/Sofa Cum Bed,36999.0,Furniture,New,,"Description Al Wahaj Furniture
We Deal in All Home Furniture
We Provide Best Quality 
Guarantee 100%
No Compromise In Quality 
We Deal In All Over Islamabad

Transform your living room into a cozy retreat with our stunning L-shaped sofa, expertly designed for small spaces and corner areas. 

For Further information

Contact Us : 0/3/0/0/0/3/3/0/4/4/9",https://www.olx.com.pk/item/sofa-setl-shape-sofa6-seater-sofawooden-cornor-sofasofa-cum-bed-iid-1104550177
False ceiling | Pvc wall panel | Wpc wallpanel | wallpaper,10000.0,Furniture,Used,,"Description Upgrade Your Interiors with Style & Quality! 
We provide premium solutions to make your home or office look elegant and modern:

 False Ceiling – Stylish & durable designs
 PVC Wall Panels – Waterproof & easy to clean
 WPC Panels – Strong & long-lasting finish
 Wallpaper – Wide variety of designs & colors
 Vinyl Flooring – Elegant look with easy maintenance
 Wooden Flooring – Natural & classy feel

 Contact us today for quality products and professional installation!
 (View phone number)",https://www.olx.com.pk/item/false-ceiling-pvc-wall-panel-wpc-wallpanel-wallpaper-iid-1105005469
computer chair,5000.0,Chair,Used,,Description steel + fiber + foam chais 30 nos available. very good condition. look like new,https://www.olx.com.pk/item/computer-chair-iid-1105431587
zinc color bed room set,25000.0,Bed,Used,Wood,"Description king size bed
2 side tables 
one dressing 
devaan with table 
sethi (storage box)
divider (showcase)
iron stand 
cupboard 3 piece 
jahez package. . .",https://www.olx.com.pk/item/zinc-color-bed-room-set-iid-1105431606
just 4 chairs not table,2000.0,Chair,Used,,Description told and strong  jus need polish,https://www.olx.com.pk/item/just-4-chairs-not-table-iid-1105431612
Portable Dressing Mirror,17000.0,Furniture,New,,"Description Brand new with packing
Purchased few months back
Selling because of shifting 
Price is slightly negotiable",https://www.olx.com.pk/item/portable-dressing-mirror-iid-1105431630
sofa seven seater,76000.0,Furniture,New,,Description Seven seater sofa with fifteen years foam warranty,https://www.olx.com.pk/item/sofa-seven-seater-iid-1105431646
bed just,18000.0,Bed,Used,Wood,Description Urgent sale condition 10/10,https://www.olx.com.pk/item/bed-just-iid-1105431647
double bed with dresssing table,95000.0,Bed,Used,Wood,"Description double bed  side table hain 2
1 dressing table
price kcuh kam hu jay gi moky pa
 (View phone number) 
is number pa rabta krain",https://www.olx.com.pk/item/double-bed-with-dresssing-table-iid-1105431698
Bed double bed with mattress,15000.0,Bed,Used,Wood,"Description Wooden Bed with Mattress for Sale 

 Strong & durable wooden bed
 Comes with comfortable mattress
 Neat & clean condition – ready to use
 Elegant design suitable for any room

Perfect for home use – no need to buy mattress separately!

Price: 200000 – Slightly negotiable
 Location: Multan 
 Contact:   (View phone number)",https://www.olx.com.pk/item/bed-double-bed-with-mattress-iid-1105431717
wooden wardrobe,15000.0,Wardrobe,Used,,Description 1 year use condition good hai,https://www.olx.com.pk/item/wooden-wardrobe-iid-1105431722
Cloth Stand,3000.0,Furniture,New,,"Description •  Weight 4.5 kg Color Silver5.5 feet height
•  Easy to carry Easy to install4 feet width
•   Product for boutique and homeDurable & ReliableAttractive DesignNote. We will send you this stand in parts. I ts very easy to assemble. 
•  5 Days Return Warranty
• COD Available All Over In Pakistan",https://www.olx.com.pk/item/cloth-stand-iid-1104222308
Bar stool,8000.0,Furniture,New,,"Description We deal all kind of  Office Furniture 

Office Chair 
Office Table


Custom-Made Furniture on Order

 Unique & Trendy Designs
 Solid & Durable Materials
 Affordable Prices with Premium Finish
 Customization Available

 Contact:  (View phone number)  {  (View phone number)  } {  (View phone number)  }  

Transform your Office furniture that speaks of elegance and comfort — only at MD Furniture. 

Also Vist our Shop {  Takbeer tower LG 22 Main Mcleod road lakshami chowk Lahore",https://www.olx.com.pk/item/bar-stool-iid-1105431731
Room set,11000.0,Bed,Used,Wood,"Description Full room set 
Bed including mattress , side tables , Dressing table.",https://www.olx.com.pk/item/room-set-iid-1105431761
conference table,10000.0,Table,Used,,Description 4x8 size table available  good condition,https://www.olx.com.pk/item/conference-table-iid-1105431763
for sale,15000.0,Bed,Used,Wood,Description without maters only bed,https://www.olx.com.pk/item/for-sale-iid-1105431765
dining table/6 seater dining set/metal steel chair/UV top dining table,50000.0,Furniture,Used,,"Description We Deal in  Dining Table & chairs
We offer a wide selection of high-quality furniture products that are designed to meet your style and functional needs

Classic traditional style furniture – perfect for a mid-century style living room or office. 
6 chairs dining table with white genuine marble placed,
8 chairs dining table,  
4 chairs dining table,   
*Modern chairs , peacock style , 
*Colors & Design's can changed according to your choise. *
For Order and Information Please contact us:
 (View phone number)",https://www.olx.com.pk/item/dining-table6-seater-dining-setmetal-steel-chairuv-top-dining-table-iid-1103513597
sofa set with stool,60000.0,Sofa,Used,,Description 3 1 1 sofa set in blue colour with 2 seater stool made of pure wooden frame inside,https://www.olx.com.pk/item/sofa-set-with-stool-iid-1105318977
Original Leather 5 Seater Sofa Set,25000.0,Sofa,Used,,Description original foam aur original Leather wala sofa set hy 45k ka new hy condition thk bs 3 seater ki 2 jga se selai utri hy jo k set ho jay gi bki bethny me full comfort hy use k lye best hy ghr office k lye contact on 0/3/24/27/79/414,https://www.olx.com.pk/item/original-leather-5-seater-sofa-set-iid-1104827684
Sofa chair table,50000.0,Furniture,New,,Description Contact  (View phone number)  and show videos and deal,https://www.olx.com.pk/item/sofa-chair-table-iid-1105431431
Executive Chair/Officer chair/CEO chair/Boss chair,7799.0,Furniture,New,,"Description Description:
Ergonomic Design
Adjustable height 
360° degree swivel 
Mesh back 
Lumber support for comfort
 Padded seat
High density foam
PP-Nylon base
Imported base with one year warranty

Significance 
Sleek and professional design to complement any office decor
""Elevate your workspace with our ergonomic revolving chair! 
 Experience ultimate comfort and mobility with 360-degree swivel. 
 Adjustable height and lumbar support ensure personalized comfort. 
 Perfect for any office settings.",https://www.olx.com.pk/item/executive-chairofficer-chairceo-chairboss-chair-iid-1105431438
Handmade Bouquet,6000.0,Furniture,New,,"Description Handmade Money Bouquet – Perfect Gift 

Beautifully designed handmade bouquet made with PKR 100 currency notes. 
 Total Amount: PKR 5,000 (50 notes of 100 each)
 Wrapped in elegant premium paper with decorative ribbon
 Perfect for gifting on birthdays, anniversaries, engagements, weddings, or any special occasion
 Unique & creative alternative to flower bouquets

 Condition: Brand new (handmade)
 Ready to gift directly100 currency notes. 
 Total Amount: PKR 5,000 (50 notes of 100 each)
 Wrapped in elegant premium paper with decorative ribbon
 Perfect for gifting on birthdays, anniversaries, engagements, weddings, or any special occasion
 Unique & creative alternative to flower bouquets

 Condition: Brand new (handmade)
 Ready to gift directly",https://www.olx.com.pk/item/handmade-bouquet-iid-1105431440
steel body single bed without matress,15500.0,Bed,Used,Iron,Description steel body single bed in very good condition,https://www.olx.com.pk/item/steel-body-single-bed-without-matress-iid-1105431442
A. G furniture market,11400.0,Bed,New,Wood,Description only bed set and order pa ready kiye jy ta hai bed ke Life wanntry inshallah ap ko Pasand ay gy jazkallah,https://www.olx.com.pk/item/a-g-furniture-market-iid-1105431459
sofa center table,7000.0,Furniture,Used,,Description sofa center table black and golden,https://www.olx.com.pk/item/sofa-center-table-iid-1105431465
Baby cutting chair,12500.0,Chair,Used,,"Description condition 10/10
 (Chat with seller)",https://www.olx.com.pk/item/baby-cutting-chair-iid-1105431470
6 Chairs Dining Table,25000.0,Furniture,Used,,"Description Glass Dining Table with 6 Chairs 

Used Condition",https://www.olx.com.pk/item/6-chairs-dining-table-iid-1105431475
Turkish style dining table and chairs,40000.0,Table,Used,,Description Turkish style chairs with marble top tables 10/10 for sale faltu offer na dain shukriya,https://www.olx.com.pk/item/turkish-style-dining-table-and-chairs-iid-1095627371
Corner sofa / L shape sofa,60000.0,Furniture,Used,,"Description L shape sofa , condition 9.5 /10",https://www.olx.com.pk/item/corner-sofa-l-shape-sofa-iid-1105431528
5 seater sofa with cushions in good condition,17999.0,Sofa,Used,,"Description 5 seater sofa with cushions in good condition
no damage at all O3ll-5ll8838",https://www.olx.com.pk/item/5-seater-sofa-with-cushions-in-good-condition-iid-1105431547
used 5 month only,60000.0,Bed,Used,Wood,Description good condition used only 5 month almost new 1 bed 2. side table 1 almary urgent sale,https://www.olx.com.pk/item/used-5-month-only-iid-1105431558
Solid sofa set for sale ( 3+1+1),45000.0,Sofa,Used,,"Description Solid and in very good condition. Poshish changed recently. Just like new
Slightly negotiable",https://www.olx.com.pk/item/solid-sofa-set-for-sale-311-iid-1105431560
Garden Chairs / outdoor garden chairs / chairs  / Lawn Chairs,85000.0,Furniture,New,,"Description Anaya outdoor Garden furniture
 
Welcome to AD Outdoor Garden & Lawn Furniture
We specialize in premium Outdoor & Garden Furniture designed for beauty, comfort, and durability. 

 Our Products Include:
 L-Shaped Sofas
 Single Chairs
 Complete Outdoor Sets
 Custom Styles & Designs (Prices vary by design)

 Why Choose Us?
Top-Quality Materials & Finishing

Comfortable, Elegant & Long-Lasting Furniture

Skilled & Professional Craftsmanship

Custom Colors and Designs Available

Home Delivery Across Pakistan 

Reasonable & Affordable Prices

 Order Now:
  (View phone number)   
  (View phone number) 
 Call / SMS / WhatsApp / Inbox for details
 Click on our profile to see more!",https://www.olx.com.pk/item/garden-chairs-outdoor-chairs-chairs-furniture-lawn-chairs-iid-1104717950
sofa set with new condition,60000.0,Sofa,Used,,Description used with in 4 to 5 mnths,https://www.olx.com.pk/item/sofa-set-with-new-condition-iid-1105431200
computer table,5000.0,Furniture,Used,,"Description old computer table,  Rs. 5,000/-",https://www.olx.com.pk/item/computer-table-iid-1105431210
7seater lshaped sofa with puffy and table is up for sale,65000.0,Furniture,Used,,Description 7seater Lshaped sofa with puffy and table is up for sale only 2 months used almost new condition used with care only serious buyers chat on olx price is bit negotiable,https://www.olx.com.pk/item/7seater-lshaped-sofa-with-puffy-and-table-is-up-for-sale-iid-1105431219
6 Seater Sofa Set with Side table Set for Living Room,15900.0,Sofa,Used,,"Description 6 Seater Sofa Set with Side tables and One center table for living Room. 
No damage, No scratches or stains
High quality material, designed to last. Urgent Sale 
condition 10/10",https://www.olx.com.pk/item/6-seater-sofa-set-with-side-table-set-for-living-room-iid-1105431228
Bed set / Double Bed set / King size Bed set / Bedroom Furniture,55000.0,Bed,New,Wood,"Description * Woods Used: Sheesham, Kail, Partal, Akhrot & Lasani – solid and durable options. 
 • Finishing: High gloss, matte, deco paint & PU polish – custom colors available. 
 • Designs: King size, luxury wooden & poshish beds with side tables, dressers. 
 • Quality & Warranty: Top-grade material with 10-year frame guarantee – no compromise. 
Different coulrs are available as per your choice
For more details contact on whatsapp  (View phone number)",https://www.olx.com.pk/item/bed-set-double-bed-set-king-size-bed-set-bedroom-furniture-iid-1105431245
